,tweets,user_name,location,geo
144,They don’t even know about the COVID deaths in the UK and this shows how vulnerable the country is,GBKoumar1,,
145,NEWS:  Coronavirus: Why obesity can increase risk of hospitalisation and death from COVID-19 https://t.co/31Zgdxx5Rn,YorksCoastRadio,Yorkshire Coast,
146,@albacaracciolo5 Tienes al sims con covid chata 🤣,SoniiaGarciia,•EN LA PARRA•,
147,"""The FDA has authorized its first COVID-19 diagnostic for broad-based screening—including for people who have not s… https://t.co/9KPsPeBQio",AmeshAA,"Pittsburgh, Baltimore, NYC",
148,eu parece q mi tia tiene covid y se lo toma a joda😶,akanonatsu,they/them ze/zir fi/fire,
149,"Covid e bambini, si infettano meno facilmente degli adulti. Meno preoccupazioni a scuola @AleCamarca https://t.co/gDe0W7IfIi",TV2000it,,
150,"@SkyNewsBreak I am currently in Denmark 🇩🇰 
Covid Madness is almost a distant memory.",spenniy,UK,
151,tudo indica que é covid,giuzinha__,"Bonsucesso, Rio de Janeiro",
152,Republicans are reportedly seeking to extend increased unemployment benefits in the next round of COVID-19 stimulus… https://t.co/xWNWIEU0qA,LEX18News,"Lexington, KY",
153,@RobertGarciaLB So very sorry for your loss. I have been praying for your mother every day since you shared she had… https://t.co/lVBZ8wgGqo,ElizabethLambe,"Long Beach, CA",
154,Office Of Inspector General Critical Of Bureau Of Prisons Response To Covid-19 via @forbes https://t.co/u8P50FjnvM,bythec2,,
155,"Juan Soto no ha experimentado ninguno de los síntomas del COVID-19 desde que arrojó positivo el pasado Jueves.
.
So… https://t.co/8biVGHPSre",BournigalSports,Dominican Republic,
156,@TDen2020 @A_Rosie_Life He fucked up covid and got my pay cut by 10%.,gregmk12,Illinois,
157,"""Con la diggitalrevoluscion, le cittàdelfuturo™ dopo il #COVID avranno lavoro e servizi al massimo a 15 minuti da c… https://t.co/bY8eH5MBBR",Haragyl,"Firenze, Impero Romano",
158,"The game isn't over. I urge everyone to wear masks and social distance when possible. Together, we can defeat this… https://t.co/mkBlYfhvEa",JStuartAdams,"Layton, UT",
159,"5 dias sem fumar 😅🙏🏻 algo útil esse covid me trouxe, largar esse vicio escroto, porém a vontade de fumar tá grande. Confesso kkkkk",juliamd98,,
160,"@NoticiasCaracol @NCAntioquia Me parece bien que vengan a ayudar,pero que dejen el adoctrinamiento comunista en su… https://t.co/onc4w9LMcd",ElHombreDeLasR,Bogotá - NarColombia,
