,tweets,user_name,location,geo,ftokens,lemma
50, Fauci was part of the research that found HCQ was effective against SARSCOV1 SARSCOV2 Covid1… ,yellowshell59,"Lubbock, TX",,"['fauci', 'part', 'research', 'found', 'hcq', 'effective', 'sarscov1', 'sarscov2', 'covid1…']","['fauci', 'part', 'research', 'find', 'hcq', 'effective', 'sarscov1', 'sarscov2', 'covid1…']"
51,Y’all need to have this energy with covid ,beephaniee,,,"['’', 'need', 'energy', 'covid']","['’', 'need', 'energy', 'covid']"
52,Here’s our work spelled out in a nutshell peeps Trump’s mishandling of the Covid19 virus has killed 150K and ri… ,PaulaRoyce,New Orleans,,"['’', 'work', 'spelled', 'nutshell', 'peeps', 'trump', '’', 'mishandling', 'covid19', 'virus', 'killed', '150k', 'ri…']","['’', 'work', 'spell', 'nutshell', 'peeps', 'trump', '’', 'mishandle', 'covid19', 'virus', 'kill', '150k', 'ri…']"
53,Sorrento Therapeutics announces rapid COVID19 diagnostic saliva test with 30minute results   SRNE,jfigueredo,"Aventura, FL",,"['sorrento', 'therapeutics', 'announces', 'rapid', 'covid19', 'diagnostic', 'saliva', 'test', '30minute', 'results', 'srne']","['sorrento', 'therapeutic', 'announces', 'rapid', 'covid19', 'diagnostic', 'saliva', 'test', '30minute', 'result', 'srne']"
54,  None of them had authority it’s called the US constitution the 1st Amendment read it  my neig… ,Ruf42Q,,,"['none', 'authority', '’', 'called', 'us', 'constitution', '1st', 'amendment', 'read', 'neig…']","['none', 'authority', '’', 'call', 'u', 'constitution', '1st', 'amendment', 'read', 'neig…']"
55,Every time I see someone not wearing their mask I want to peel my own face off and chase them screaming FINE FI… ,ajohnagnello,"Ithaca, NY",,"['every', 'time', 'see', 'someone', 'wearing', 'mask', 'want', 'peel', 'face', 'chase', 'screaming', 'fine', 'fi…']","['every', 'time', 'see', 'someone', 'wear', 'mask', 'want', 'peel', 'face', 'chase', 'scream', 'fine', 'fi…']"
56,   Your screenshot literally contains the words “Based on death certificate da… ,PRider1980,,,"['screenshot', 'literally', 'contains', 'words', '“', 'based', 'death', 'certificate', 'da…']","['screenshot', 'literally', 'contain', 'word', '“', 'base', 'death', 'certificate', 'da…']"
57, President Trump LiesPresident Trump stirs hatred President Trump supports honoring Confederate… ,blueyes988,,,"['president', 'trump', 'liespresident', 'trump', 'stirs', 'hatred', 'president', 'trump', 'supports', 'honoring', 'confederate…']","['president', 'trump', 'liespresident', 'trump', 'stir', 'hatred', 'president', 'trump', 'support', 'honor', 'confederate…']"
58,Yes we know Parson has handled COVID horriblyCan we also talk about his horribly cruel criminal injustice pla… ,handle82651,,,"['yes', 'know', 'parson', 'handled', 'covid', 'horriblycan', 'also', 'talk', 'horribly', 'cruel', 'criminal', 'injustice', 'pla…']","['yes', 'know', 'parson', 'handle', 'covid', 'horriblycan', 'also', 'talk', 'horribly', 'cruel', 'criminal', 'injustice', 'pla…']"
59,   Explain why you need F35s and Apache helicopters to fight covid,adamlotus,,,"['explain', 'need', 'f35s', 'apache', 'helicopters', 'fight', 'covid']","['explain', 'need', 'f35s', 'apache', 'helicopter', 'fight', 'covid']"
