,tweets,user_name,location,geo
168,Excited for Saturday. I wish I could have invited more people but Covid! 🤦🏽‍♀️,_MissLadyyyy,,
169,@GOP Fracking is bad. There's not even a discussion on how bad it is. But what is worse. 8 million people laid off… https://t.co/NQB9UXJ7IC,ShandrewKevin,"North Tonawanda, NY",
170,Biden slams Trump for promoting false COVID-19 claims from 'crazy woman' #SmartNews  https://t.co/7LQzVRbd7A,SandraRodkey,"Kansas City, MO",
171,Republican meme fans when another anti-mask Republican politician gets Covid. https://t.co/f0AnIWt3rw,GuyGaijin,"Parts Known, USA",
172,"Safe, inclusive engagement in this year's elections is critical to the health and wellbeing of our community. Tomor… https://t.co/jJLC3PsPMp",MagnifySV,,
173,"The economic impact of climate change could be just as bad as COVID-19, and we’ll feel it sooner than you might thi… https://t.co/zrCplhWj2R",EnvDefenseFund,"New York, New York",
174,"The Senate unanimously passed S. 3841. This bill protects stimulus funds provided under the Coronavirus Aid, Relief… https://t.co/e0HpVEPwCr",troutmanpepper,United Sates,
175,"Could new cannabis strains be the key to fighting COVID-19?

@CTVNews recently sat down with two Alberta researcher… https://t.co/5A1Dchvyyt",TrueNorthAgri,,
176,Why The PCR Test Is The Key To The Illusion Of COVID Data https://t.co/GXAQ4CMdgH,juanayza,Mexico,
177,@cheryl_kernot @JBell100099 #ScottyFromMarketing the most widely traveled pm in Australia’s history  . With over 3… https://t.co/KtCwTAVFhw,DjRaison,Perth W A,
178,Russia Plans to Register First Covid-19 Vaccine by Aug. 12 - Bloomberg https://t.co/JLXPnrfCAn,TurkerNational,"Toronto, Canada",
179,I agree with the resolution filed in the Senate yesterday by some senators asking the Commission on Audit or COA to… https://t.co/Qi7QWdXIbO,JamesVelinaLXIX,"Makati City, NCR, PH",
180,"@mapod1964 @abq_united @GovMLG Suicide is rampant and it is deadlier than Covid. Economy needs to reopen, schools m… https://t.co/fVR3njDswP",sajmay28,"Albuquerque, NM",
181,"So why are they all running to IMF, thought China has all the money and profited from selling them everything COVID… https://t.co/Pw9h5GK0Zy",Namaseb,Windhoek,
182,@JerrodSimkins Newsflash: he thinks the mask *gave him COVID,alexphennesy,"Key West, FL",
183,Kenny Golladay and T.J. Hockenson were among five #Lions placed on the Reserve/COVID-19 list on Wednesday. So what… https://t.co/hn9xj99rlT,TheAthleticDET,"Detroit, MI",
184,"Looks like covid strikes at @lincolnspeedway tonight.

Zero fans for the big race. @lyndsay_barna",FootballReport9,"Philadelphia, PA",
185,@vg75105 @SeymoreButtz5 @wxyzdetroit Not necessarily. My point was there were no side affects for me.  If you catch… https://t.co/VJeI9Y7Ejj,hatchet19,Detroit Michiganistan,
186,@WhiteHouse @realDonaldTrump First in Covid-19 deaths? https://t.co/MoRnFqYeYf,Fullquart4,US,
187,History is replete with horror stories of plagues and epidemics that failed to eradicate the performing arts. But h… https://t.co/dpAJxzG2ZC,onenewsph,"Mandaluyong City, National Cap",
188,@KMJNOW Just how many of these deaths are really due to COVID-19.,loren_capps,,
189,@NZNationalParty @JudithCollinsMP @GerryBrownleeMP looks like you have been sprung #nzpol #NationalNotFitToGovern… https://t.co/V84elw7x6I,mykeywill,Whakaraupo,
190,The Key to Defeating COVID-19 Already Exists. We Need to Start Using It | Opinion https://t.co/zb8XrVw2vN,scott80720414,,
191,just found out my mom has covid fuck u if you ain't wearing a mask fucking losers,frijoledip,California,
192,FDA could authorize COVID-19 treatment with convalescent plasma as early as next week: WSJ https://t.co/zgNilgL8M3,TurkerNational,"Toronto, Canada",
193,Endometriosis is no joke. It's literally a chronic illness and affects 1 in 10 women. It's physically and mentally… https://t.co/rE3CpblZZA,x_Wonder_Woman_,"England, United Kingdom",
194,Ok COVID sucks but this is actually really great news. Retail employees deserve to spend their holidays relaxing wi… https://t.co/brrfNbaZPh,katydoom,"Columbus, OH",
195,Twitter Suspends Donald Trump Jr. for Tweeting COVID-19 Misinformation - Little Don is such a moron. ⁦… https://t.co/Hale6vJ2NN,pjmooney,"Berkeley, California",
196,"Australian PM's department refuses to release Covid-19 commission documents

We need a Government governing for the… https://t.co/S5XtRyKPAI",knarfnamduh,"South Coast, New South Wales",
